AFR,Cameroon,2013,20,67,3070,2,71
AFR,Cameroon,2013,21,87,4484,3,74
AFR,Cameroon,2013,22,78,3401,0,0
AFR,Cameroon,2013,23,60,3288,1,65
AFR,Cameroon,2013,24,89,4165,2,54
AFR,Cameroon,2013,25,65,4235,1,41
AFR,Cameroon,2013,26,65,3724,4,22
AFR,Cameroon,2013,27,57,3930,0,28
AFR,Cameroon,2013,28,73,3534,1,30
AFR,Cameroon,2013,29,69,3487,0,17
AFR,Cameroon,2013,30,75,3717,0,2
AFR,Cameroon,2013,31,40,2959,0,0
AFR,Cameroon,2013,32,70,3779,0,0
AFR,Cameroon,2013,33,102,4101,0,4
AFR,Cameroon,2013,34,54,3252,0,0
AFR,Cameroon,2013,35,44,3107,13,29
AFR,Cameroon,2013,36,66,2966,9,29
AFR,Cameroon,2013,37,65,2743,12,38
AFR,Cameroon,2013,38,120,3105,20,29
AFR,Cameroon,2013,39,103,3151,12,44
AFR,Cameroon,2013,40,79,2768,20,47
AFR,Cameroon,2013,41,55,2916,0,0
AFR,Cameroon,2013,42,40,2625,14,39
AFR,Cameroon,2013,43,45,2566,0,0
AFR,Cameroon,2013,44,56,2873,0,0
AFR,Cameroon,2013,45,70,2752,5,48
AFR,Cameroon,2013,46,41,2364,2,43
AFR,Cameroon,2013,47,73,2827,6,51
AFR,Cameroon,2013,48,55,3052,12,56
AFR,Cameroon,2013,49,66,2677,5,64
AFR,Cameroon,2013,50,46,3024,13,61
AFR,Cameroon,2013,51,33,2810,0,54
AFR,Cameroon,2013,52,61,2708,0,51
AFR,Cameroon,2014,2,45,3081,7,46
AFR,Cameroon,2014,3,50,3180,4,60
AFR,Cameroon,2014,4,35,2842,3,38
AFR,Cameroon,2014,5,42,3055,0,23
AFR,Cameroon,2014,6,48,2689,10,31
AFR,Cameroon,2014,7,43,2315,7,42
AFR,Cameroon,2014,8,50,2500,6,43
AFR,Cameroon,2014,9,38,2442,9,50
AFR,Cameroon,2014,10,54,2734,10,42
AFR,Cameroon,2014,11,41,2621,8,44
AFR,Cameroon,2014,12,66,2682,8,43
AFR,Cameroon,2014,13,61,3085,9,54
AFR,Cameroon,2014,14,91,3285,7,57
AFR,Cameroon,2014,15,64,3021,0,62
AFR,Cameroon,2014,16,52,2791,3,55
AFR,Cameroon,2014,17,54,3153,0,56
AFR,Cameroon,2014,18,67,2984,2,48
AFR,Cameroon,2014,19,70,3163,2,40
AFR,Cameroon,2014,20,71,3690,4,33
AFR,Cameroon,2014,21,70,3339,13,49
AFR,Cameroon,2014,22,60,3577,9,66
AFR,Cameroon,2014,23,69,3932,3,67
AFR,Cameroon,2014,24,36,1813,5,58
AFR,Cameroon,2016,2,40,4002,5,45
AFR,Cameroon,2016,3,37,3364,2,64
AFR,Cameroon,2016,4,23,3307,6,67
AFR,Cameroon,2016,5,36,3388,8,75
AFR,Cameroon,2016,6,28,2727,3,37
AFR,Cameroon,2016,7,32,3217,7,73
AFR,Cameroon,2016,8,61,3314,16,67
AFR,Cameroon,2016,9,14,3336,14,59
AFR,Cameroon,2016,10,26,3522,16,61
AFR,Cameroon,2016,11,8,2106,18,64
AFR,Cameroon,2016,12,66,3160,17,84
AFR,Cameroon,2016,13,49,3734,17,84
AFR,Cameroon,2016,14,15,3703,0,0
AFR,Cameroon,2016,15,31,2707,0,0
AFR,Cameroon,2016,16,34,2897,0,0
AFR,Cameroon,2016,17,31,3911,0,0
AFR,Cameroon,2016,18,14,1756,0,0
AFR,Cameroon,2016,20,29,3258,0,0
AFR,Cameroon,2016,21,45,3735,0,0
AFR,Cameroon,2016,22,36,1743,0,0
AFR,Cameroon,2016,23,27,2543,0,0
AFR,Cameroon,2016,25,25,1483,0,0
AFR,Cameroon,2016,26,10,719,0,0
AFR,Cameroon,2016,27,1,456,0,0
AFR,Cameroon,2016,28,20,1005,0,0
AFR,Cameroon,2016,29,12,1272,0,0
AFR,Cameroon,2016,30,28,2471,0,0
AFR,Cameroon,2016,31,31,2426,0,0
AFR,Cameroon,2016,32,4,1790,0,0
AFR,Cameroon,2016,33,26,1772,0,0
